VSP_w,eng_on,mot_control,HVAC_adjust_rate,t_value,delta_elec_energy_rate
-11000,1,0,0,-1.349592017,0
-12000,1,0,0,-1.349592017,0
-13000,1,0,0,-1.349592017,0
-10000,0,0,1.01419134,166.9351496,507.09567
-9000,0,0,1.01419134,166.9351496,507.09567
-8000,0,0,1.01419134,166.9351496,507.09567
-8000,1,1,0.598350349,7.657621935,299.1751745
-9000,1,1,0.598350349,7.657621935,299.1751745
-10000,1,1,0.598350349,7.657621935,299.1751745
-8000,1,0,0,-1.349592017,0
-9000,1,0,0,-1.349592017,0
-10000,1,0,0,-1.349592017,0
-7000,0,0,1.051266923,265.6387342,525.6334615
-6000,0,0,1.051266923,265.6387342,525.6334615
-5000,0,0,1.051266923,265.6387342,525.6334615
-5000,1,0,0,-1.349592017,0
-6000,1,0,0,-1.349592017,0
-7000,1,0,0,-1.349592017,0
-5000,1,1,0.3666201,3.596820521,183.31005
-6000,1,1,0.3666201,3.596820521,183.31005
-7000,1,1,0.3666201,3.596820521,183.31005
-4000,0,0,1.045310154,613.0906012,522.655077
-3000,0,0,1.045310154,613.0906012,522.655077
-2000,0,0,1.045310154,613.0906012,522.655077
-2000,1,0,0,0.419179817,0
-3000,1,0,0,0.419179817,0
-4000,1,0,0,0.419179817,0
-2000,1,1,0.777971365,14.3142062,388.9856825
-3000,1,1,0.777971365,14.3142062,388.9856825
-4000,1,1,0.777971365,14.3142062,388.9856825
-1000,0,0,1.068118514,839.2152819,534.059257
0,0,0,1.068118514,839.2152819,534.059257
1000,0,0,1.068118514,839.2152819,534.059257
1000,1,0,0,-0.098206756,0
0,1,0,0,-0.098206756,0
-1000,1,0,0,-0.098206756,0
1000,1,1,0.371930333,13.24023126,185.9651665
0,1,1,0.371930333,13.24023126,185.9651665
-1000,1,1,0.371930333,13.24023126,185.9651665
2000,0,1,1.089716594,911.3793328,544.858297
3000,0,1,1.089716594,911.3793328,544.858297
4000,0,1,1.089716594,911.3793328,544.858297
4000,1,0,1.020614093,3.384271434,510.3070465
3000,1,0,1.020614093,3.384271434,510.3070465
2000,1,0,1.020614093,3.384271434,510.3070465
4000,1,1,0.080437178,9.286491503,40.218589
3000,1,1,0.080437178,9.286491503,40.218589
2000,1,1,0.080437178,9.286491503,40.218589
5000,0,1,1.113956369,1027.317484,556.9781845
6000,0,1,1.113956369,1027.317484,556.9781845
7000,0,1,1.113956369,1027.317484,556.9781845
7000,1,0,0.738664667,558.9834319,369.3323335
6000,1,0,0.738664667,558.9834319,369.3323335
5000,1,0,0.738664667,558.9834319,369.3323335
7000,1,1,0.081024748,19.96555238,40.512374
6000,1,1,0.081024748,19.96555238,40.512374
5000,1,1,0.081024748,19.96555238,40.512374
8000,0,1,1.133238377,1036.460925,566.6191885
9000,0,1,1.133238377,1036.460925,566.6191885
10000,0,1,1.133238377,1036.460925,566.6191885
10000,1,0,0.7553309,225.1512087,377.66545
9000,1,0,0.7553309,225.1512087,377.66545
8000,1,0,0.7553309,225.1512087,377.66545
10000,1,1,0.166747372,19.34778782,83.373686
9000,1,1,0.166747372,19.34778782,83.373686
8000,1,1,0.166747372,19.34778782,83.373686
11000,0,1,1.150745033,857.1433935,575.3725165
12000,0,1,1.150745033,857.1433935,575.3725165
13000,0,1,1.150745033,857.1433935,575.3725165
13000,1,1,0.169112901,20.23367619,84.5564505
12000,1,1,0.169112901,20.23367619,84.5564505
11000,1,1,0.169112901,20.23367619,84.5564505
13000,1,0,0.7553309,225.1512087,377.66545
12000,1,0,0.7553309,225.1512087,377.66545
11000,1,0,0.7553309,225.1512087,377.66545
14000,0,1,1.168009863,839.4408476,584.0049315
15000,0,1,1.168009863,839.4408476,584.0049315
16000,0,1,1.168009863,839.4408476,584.0049315
16000,1,0,1.167517409,72.83605914,583.7587045
15000,1,0,1.167517409,72.83605914,583.7587045
14000,1,0,1.167517409,72.83605914,583.7587045
16000,1,1,0.121737369,19.12256409,60.8686845
15000,1,1,0.121737369,19.12256409,60.8686845
14000,1,1,0.121737369,19.12256409,60.8686845
17000,0,1,1.171296294,688.2055918,585.648147
18000,0,1,1.171296294,688.2055918,585.648147
19000,0,1,1.171296294,688.2055918,585.648147
20000,0,1,1.171296294,688.2055918,585.648147
21000,0,1,1.171296294,688.2055918,585.648147
22000,0,1,1.171296294,688.2055918,585.648147
23000,0,1,1.171296294,688.2055918,585.648147
24000,0,1,1.171296294,688.2055918,585.648147
25000,0,1,1.171296294,688.2055918,585.648147
26000,0,1,1.171296294,688.2055918,585.648147
27000,0,1,1.171296294,688.2055918,585.648147
28000,0,1,1.171296294,688.2055918,585.648147
29000,0,1,1.171296294,688.2055918,585.648147
30000,0,1,1.171296294,688.2055918,585.648147
31000,0,1,1.171296294,688.2055918,585.648147
32000,0,1,1.171296294,688.2055918,585.648147
33000,0,1,1.171296294,688.2055918,585.648147
34000,0,1,1.171296294,688.2055918,585.648147
35000,0,1,1.171296294,688.2055918,585.648147
36000,0,1,1.171296294,688.2055918,585.648147
37000,0,1,1.171296294,688.2055918,585.648147
38000,0,1,1.171296294,688.2055918,585.648147
39000,0,1,1.171296294,688.2055918,585.648147
40000,0,1,1.171296294,688.2055918,585.648147
41000,0,1,1.171296294,688.2055918,585.648147
42000,0,1,1.171296294,688.2055918,585.648147
43000,0,1,1.171296294,688.2055918,585.648147
44000,0,1,1.171296294,688.2055918,585.648147
45000,0,1,1.171296294,688.2055918,585.648147
46000,0,1,1.171296294,688.2055918,585.648147
47000,0,1,1.171296294,688.2055918,585.648147
48000,0,1,1.171296294,688.2055918,585.648147
49000,0,1,1.171296294,688.2055918,585.648147
50000,0,1,1.171296294,688.2055918,585.648147
51000,0,1,1.171296294,688.2055918,585.648147
