VSP_w,eng_on,mot_control,HVAC_adjust_rate,t_value,delta_elec_energy_rate
-5000,0,0,1.030295683,103.7360426,515.1478415
-5000,1,0,1.023675279,262.6105811,511.8376395
-6000,1,0,1.023675279,262.6105811,511.8376395
-7000,1,0,1.023675279,262.6105811,511.8376395
-5000,1,1,0.958472605,33.55792056,479.2363025
-6000,1,1,0.958472605,33.55792056,479.2363025
-7000,1,1,0.958472605,33.55792056,479.2363025
-4000,0,0,0.97579133,180.2843841,487.895665
-3000,0,0,0.97579133,180.2843841,487.895665
-2000,0,0,0.97579133,180.2843841,487.895665
-2000,1,0,1.033083625,351.7994173,516.5418125
-3000,1,0,1.033083625,351.7994173,516.5418125
-4000,1,0,1.033083625,351.7994173,516.5418125
-2000,1,1,0.958472605,33.55792056,479.2363025
-3000,1,1,0.958472605,33.55792056,479.2363025
-4000,1,1,0.958472605,33.55792056,479.2363025
-1000,0,0,1.069936854,370.1345662,534.968427
0,0,0,1.069936854,370.1345662,534.968427
1000,0,0,1.069936854,370.1345662,534.968427
1000,1,0,0.146947129,10.67752787,73.4735645
0,1,0,0.146947129,10.67752787,73.4735645
-1000,1,0,0.146947129,10.67752787,73.4735645
1000,1,1,0.956294243,50.69582839,478.1471215
0,1,1,0.956294243,50.69582839,478.1471215
-1000,1,1,0.956294243,50.69582839,478.1471215
2000,0,0,1.051118464,115.6080642,525.559232
3000,0,0,1.051118464,115.6080642,525.559232
4000,0,0,1.051118464,115.6080642,525.559232
4000,1,0,-0.328860557,-10.13170698,-164.4302785
3000,1,0,-0.328860557,-10.13170698,-164.4302785
2000,1,0,-0.328860557,-10.13170698,-164.4302785
4000,1,1,1.465183631,8.652635978,732.5918155
3000,1,1,1.465183631,8.652635978,732.5918155
2000,1,1,1.465183631,8.652635978,732.5918155
5000,0,1,1.094305819,91.84827412,547.1529095
6000,0,1,1.094305819,91.84827412,547.1529095
7000,0,1,1.094305819,91.84827412,547.1529095
7000,1,0,-0.267299286,-10.23088815,-133.649643
6000,1,0,-0.267299286,-10.23088815,-133.649643
5000,1,0,-0.267299286,-10.23088815,-133.649643
7000,1,1,2.691140196,7.655509983,1345.570098
6000,1,1,2.691140196,7.655509983,1345.570098
5000,1,1,2.691140196,7.655509983,1345.570098
8000,0,1,1.027180805,56.55446313,513.5904025
9000,0,1,1.027180805,56.55446313,513.5904025
10000,0,1,1.027180805,56.55446313,513.5904025
10000,1,0,-0.264621169,-8.120974275,-132.3105845
9000,1,0,-0.264621169,-8.120974275,-132.3105845
8000,1,0,-0.264621169,-8.120974275,-132.3105845
10000,1,1,1.727716507,11.29497214,863.8582535
9000,1,1,1.727716507,11.29497214,863.8582535
8000,1,1,1.727716507,11.29497214,863.8582535
11000,0,1,1.729657477,23.73421793,864.8287385
12000,0,1,1.729657477,23.73421793,864.8287385
13000,0,1,1.729657477,23.73421793,864.8287385
13000,1,0,-0.201653821,-6.418130409,-100.8269105
